"CRN","AXLE_CNT","CARGO_BD_TYPE","CARRIER_ADDR_1","CARRIER_ADDR_2","CARRIER_ADDR_CITY","CARRIER_ADDR_STATE","CARRIER_ADDR_ZIP","CARRIER_NM","CARRIER_TEL","GVWR","HAZMAT_CD1","HAZMAT_CD2","HAZMAT_CD3","HAZMAT_CD4","HAZMAT_IND","HAZMAT_REL_IND1","HAZMAT_REL_IND2","HAZMAT_REL_IND3","HAZMAT_REL_IND4","ICC_NUM","OSIZE_LOAD_IND","PERMITTED","PUC_NUM","SPECIAL_SIZING1","SPECIAL_SIZING2","SPECIAL_SIZING3","SPECIAL_SIZING4","UNIT_NUM","USDOT_NUM","VEH_CONFIG_CD"
"2020047558","02","2","UKNOWN","","WYNNWWOOD","PA","19003","CCN SERVICES INC","0000000000","014000","","","","","N","","","","","","N","","","","","","","1","00265752","03"
"2020082244","99","8","1234 MARKET ST","","PHILADELPHIA","PA","19107","SEPTA","9999999999","999999","","","","","N","","","","","","N","","","","","","","2","","13"
"2020083791","05","1","110 JABEZ ST STE 194","","NEWARK","NJ","07105","MATRIX TRANSPORT LLC","9735782072","080000","","","","","N","","","","","","N","","","","","","","1","02419225","08"
"2020083791","05","1","1313 GLADYS ST","","COLLINSVILLE","IL","62234","DAVIS MAIL SERVICE","9042079290","080000","","","","","N","","","","","","N","","","","","","","2","01787026","08"
"2020089000","99","1","15 OREGON AVE","","PHILA","PA","19148","UPS","9999999999","017000","","","","","N","","","","","","N","","","","","","","1","","99"
"2020110376","99","1","701 MARKET ST","","PHILADELPHIA","PA","19106","PHILADELPHIA PARKING AUTHORITY","2156839550","018750","","","","","N","","","","","","N","","","","","","","1","","09"
"2021002488","99","99","1608 BUTLER PIKE","","CONSHOHOCKEN","PA","19428","ED BOWES EXXON","9999999999","999999","","","","","N","","","","","","N","","","","","","","2","","99"
"2020011432","02","8","1234 MARKET ST","","PHILADELPHIA","PA","19107","SEPTA","2155807800","042280","","","","","N","","","","","","N","","","","","","","1","00010206","13"
"2020058961","02","99","PO BOX 307","","EDINBURG","VA","22824","APPALACHIAN FREIGHT CARRIERS INC","8008258750","030000","","","","","N","","","","","","N","","","","","","","1","00032173","08"
"2020089781","99","8","1234 MARKET ST","","PHILA","PA","19107","SEPTA","9999999999","999999","","","","","N","","","","","","N","","","","","","","1","","13"
"2020048728","99","1","1816 SPRING GARDEN STREET","","PHILADELPHIA","PA","19130","FEDX","2155672679","019500","","","","","N","","","","","","N","","A-0012345","","","","","1","","99"
"2020067936","99","8","1234 MARKET ST","","PHILA","PA","99999","SEPTA","9999999999","999999","","","","","N","","","","","","N","","","","","","","2","","13"
"2020022413","99","99","99","","99","PA","99999","195 COLLISION","9999999999","019500","","","","","N","","","","","","N","","","","","","","6","","99"
"2020034746","02","1","8550 BRYN MAHR AVE STE 1000","","CHICAGO","IL","60631","STROEMANN LINE HAUL L P","8472927603","018000","","","","","N","","","","","","N","","","","","","","2","00665959","03"
