"CRN","AXLE_CNT","CARGO_BD_TYPE","CARRIER_ADDR_1","CARRIER_ADDR_2","CARRIER_ADDR_CITY","CARRIER_ADDR_STATE","CARRIER_ADDR_ZIP","CARRIER_NM","CARRIER_TEL","GVWR","HAZMAT_CD1","HAZMAT_CD2","HAZMAT_CD3","HAZMAT_CD4","HAZMAT_IND","HAZMAT_REL_IND1","HAZMAT_REL_IND2","HAZMAT_REL_IND3","HAZMAT_REL_IND4","ICC_NUM","OSIZE_LOAD_IND","PERMITTED","PUC_NUM","SPECIAL_SIZING1","SPECIAL_SIZING2","SPECIAL_SIZING3","SPECIAL_SIZING4","UNIT_NUM","USDOT_NUM","VEH_CONFIG_CD"
"2021020827","99","8","1234 MARKET","","PHILA","PA","19107","SEPTA","9999999999","999999","","","","","N","","","","","","N","","","","","","","3","","13"
"2021072479","99","99","UNK","","PHILA","PA","99999","SALVAGE PHILLY AUTO","9999999999","999999","","","","","N","","","","","","N","","","","","","","1","","99"
"2021079618","99","99","1234 MARKET ST. 14TH FL","","PHILADELPHIA","PA","19107","SEPTA","2155807800","999999","","","","","","","","","","","U","","","","","","","2","00008622","13"
"2021089699","03","0","2417 N CHADWICK STREET","","PHILADELPHIA","PA","19132","3D TRUCKING LLC","2675934604","080000","","","","","N","","","","","","N","","","","","","","1","03411467","09"
"2021119797","02","3","4719 MELON ST","","PHILADELPHIA","PA","19139","UNLEAD-IT ENVIRONMENTAL SERVICES","2156816350","033000","","","","","N","","","","","","N","","","","","","","2","02193504","03"
"2021123216","99","6","2000 NW CORPORATE BLVD","","BOCA RATON","FL","33431","GARDA CL ATLANTIC INC","5619397000","026000","","","","","N","","","","","","N","","","","","","","2","00006731","09"
"2021126174","99","99","1234 MARKET ST","","PHILA","PA","19107","SEPTA","9999999999","058400","","","","","","","","","","","","","","","","","","1","","99"
"2021032962","99","5","3025 CASTOR AVE","","PHILADELPHIA","PA","19134","CASTOR MATERIALS INC","2157395491","073280","","","","","N","","","","","","N","","","","","","","2","01379996","98"
"2021041355","03","1","4612 LANCASTER AVE","","PHILADELPHIA","PA","19131","HAJOCA  CORP","2174737000","026000","","","","","N","","","","","","N","","","","","","","2","00005373","04"
"2021111502","05","99","1840 CARDINGTON RD","","DAYTON","OH","45409","YOWELL TRANSPORTATION SERVICE","2150000000","080000","","","","","N","","","","","","","","","","","","","1","00214777","08"
"2021008457","99","8","1234 MARKET ST","","PHILA","PA","19107","SEPTA","9999999999","999999","","","","","N","","","","","","N","","","","","","","2","","13"
"2021028681","02","8","20 IRVEN ST.","","TRENTON","NJ","08638","STOUTS CHARTER SERVICE","9999999999","999999","","","","","N","","","","","","N","","","","","","","2","","13"
"2021065575","99","8","1234 MARKET ST","","PHILA","PA","19107","SEPTA","9999999999","999999","","","","","N","","","","","","N","","","","","","","2","","13"
"2021119798","04","4","699 W GLENROSE RD","","COATESVILLE","PA","19320","PELCO BUILDERS INC","2156960053","073280","","","","","N","","","","","","N","","","","","","","2","03476805","04"
"2021070777","99","7","UNK","","PHILA","PA","99999","CITY OF PHILA","9999999999","037000","","","","","N","","","","","","N","","","","","","","2","","99"
"2021072026","99","8","1234 MARKET ST","","PHILA","PA","19107","SEPTA","9999999999","999999","","","","","N","","","","","","N","","","","","","","1","","13"
"2021098666","02","1","3190 S 70TH STREET  RM201","","PHILADELPHIA","PA","19153","US POSTAL SERVICE","2158635388","004600","","","","","N","","","","","","","","","","","","","1","","09"
"2021100507","02","8","2905 ABBOTSFORD AVE","","PHILADELPHIA","PA","19129","PHILLY TRANSPORTATION LLC","2674608698","999999","","","","","N","","","","","","N","","","","","","","1","01497653","10"
"2021103369","03","1","971 BRIARSDALE RD","","HARRISBURG","PA","17109","RYDER TRUCK RENTAL","7175616022","026000","","","","","N","","","","","","N","","","","","","","2","00550501","09"
"2021114632","03","8","1234 MARKET ST 14TH FL","","PHILADELPHIA","PA","10107","SOUTHEASTERN PENNSYLVANIA TRANSP","2155804000","058530","","","","","N","","","","","","N","","","","","","","1","00010206","13"
"2021120661","05","3","258 E SCOTLAND DRIVE","","BEAR","DE","19701","AMTRAK MECHANICAL SERVICES","8889206378","","","","","","N","","","","","","","","","","","","","2","00240318","08"
"2021125350","99","8","1234 MARKET ST","","PHILA","PA","19107","SEPTA","9999999999","","","","","","","","","","","","","","","","","","","1","","13"
"2021125350","99","99","UNK","","UNK","PA","99999","TRI STATE WASTE RECYCLE INC","9999999999","","","","","","","","","","","","","","","","","","","2","","99"
"2021008055","99","3","4166 OLD RTE 6 RD","","WYALUSING","PA","18853","FENTON WELDING TRANSPORT","5707469018","080000","","","","","N","","","","","","N","","","","","","","1","02106940","08"
"2021018224","99","99","434 VIRGINIA AVE","","WHITEHALL","PA","18052","BVX TRANSPORT INC","9999999999","025950","","","","","N","","","","","","N","","","","","","","1","","99"
"2021018270","07","3","351 HARDING HIGHWAY","","LANDISVILLE","NJ","08326-0289","BATTELINI TRANSPORTATION SYSTEMS","8566979595","080000","","","","","N","","","","","","N","","","","","","","1","00046202","08"
"2021026027","99","8","UNK","","UNK","NJ","99999","STOUTS CHARTERS","9999999999","999999","","","","","N","","","","","","N","","","","","","","2","","13"
