"CRN","AXLE_CNT","CARGO_BD_TYPE","CARRIER_ADDR_1","CARRIER_ADDR_2","CARRIER_ADDR_CITY","CARRIER_ADDR_STATE","CARRIER_ADDR_ZIP","CARRIER_NM","CARRIER_TEL","GVWR","HAZMAT_CD1","HAZMAT_CD2","HAZMAT_CD3","HAZMAT_CD4","HAZMAT_IND","HAZMAT_REL_IND1","HAZMAT_REL_IND2","HAZMAT_REL_IND3","HAZMAT_REL_IND4","ICC_NUM","OSIZE_LOAD_IND","PERMITTED","PUC_NUM","SPECIAL_SIZING1","SPECIAL_SIZING2","SPECIAL_SIZING3","SPECIAL_SIZING4","UNIT_NUM","USDOT_NUM","VEH_CONFIG_CD"
"2023016090","99","8","1234 MARKET","","PHILA","PA","19107","SEPTA","9999999999","","","","","","N","","","","","","","","","00","","","","2","","13"
"2023023955","05","3","2119 GENERAL PERSHING BLVD","","OKLAHOMA CITY","OK","73107","L AND W SUPPLY","2679878533","066000","","","","","N","","","","","","","01","","00","","","","1","05942166","04"
"2023038691","99","1","UNK","","UNK","NJ","99999","ON TIME AMBULANCE INC","9999999999","","","","","","","","","","","","","","","00","","","","2","","99"
"2023087577","99","99","UNK","","UNK","PA","99999","PANDYA DISTRIBUTION COMPANY LL","9999999999","026000","","","","","","","","","","","","","","00","","","","1","","99"
"2023104357","99","8","1234 MARKET ST","","PHILA","PA","19107","SEPTA","9999999999","","","","","","N","","","","","","","","","00","","","","2","","13"
"2023110302","03","1","15143 BEVERLY DRIVE #B","","PHILADELPHIA","PA","19116","IDEAL TRANS LLC","2153851545","080000","","","","","N","","","","","","","02","","00","","","","2","02481305","08"
"2023028846","02","0","800 W MONTGOMERY","","PHILADELPHIA","PA","19122","PGW","2152351000","016660","","","","","N","","","","","","","","","00","","","","1","","98"
"2023029843","99","99","2200 ABBOTT DRIVE","","CARTER LAKE","IA","51510","10 ROADS EXPRESS","7083338400","072000","","","","","N","","","","","","","","","00","","","","2","03345061","99"
"2023093122","03","0","1961 HARTEL AVE","","LEVITTOWN","PA","19057-4505","VELTRI INC","2159466400","032000","","","","","N","","","","","","","","","00","","","","1","00398991","07"
"2023114515","02","7","2905 ABBOTTSFORD AVE","","PHILADELPHIA","PA","19129","PHILLY TRANSPORTATION CO","0000000000","010000","","","","","","","","","","","","","","00","","","","1","","12"
"2023043609","03","4","117 YERER ROAD PO BOX 44","","HARLEYSVILLE","PA","19438","RUPERT TRUCKING LLC","6102565064","","","","","","N","","","","","","","","A-8923776","00","","","","2","02070684","09"
"2023049998","99","99","UNK","","UNK","PA","99999","SCHOKS FIBER INSTALLATION LLC","9999999999","025999","","","","","","","","","","","","","","00","","","","2","","99"
"2023065978","99","8","1234 MARKET ST","","PHILADELPHIA","PA","19107","SEPTA TRANSPORTATION","9999999999","999999","","","","","","","","","","","","","","00","","","","2","","13"
"2023067820","99","8","1234 MARKET ST","","PHILA","PA","19107","SEPTA","9999999999","","","","","","","","","","","","","","","00","","","","1","","13"
"2023073439","99","7","UNK","","PHILA","PA","99999","CITY OF PHILA","9999999999","060000","","","","","","","","","","","","","","00","","","","2","","99"
"2023074119","04","4","7 FORMSTONE RD","","BIRDSBORO","PA","19508","FORMSTONE CRAFTERS OF READING","6105825838","073000","","","","","N","","","","","","","02","","00","","","","2","00300077","09"
"2023083611","02","1","18 SEBAGO ST","","CLIFTON","NJ","07013","PRECISION ELECTRIC MOTOR WORKS","9734712600","025000","","","","","N","","","","","","","","","00","","","","2","01711832","09"
"2023090464","03","0","318 W CALA BREEZE WAY","","LITTLE EGG HARBOR","NJ","08087","OLYMPIC NATIONA EXPRESS","8563979955","052000","","","","","N","","","","","","","01","","00","","","","1","00807165","04"
"2023104588","99","99","UNK","","UNK","ZZ","99999","UNK","9999999999","010600","","","","","","","","","","","","","","00","","","","5","","99"
"2023020141","99","8","UNK","","PHILA","PA","99999","VALBRUN","9999999999","","","","","","N","","","","","","","","","00","","","","1","","10"
"2023060434","99","8","1234 MARKET ST","","PHILA","PA","19107","SEPTA","9999999999","","","","","","N","","","","","","","","","00","","","","1","","13"
"2023069056","99","1","UNK","","PHILA","PA","99999","CITY OF PHILA","9999999999","","","","","","","","","","","","","","","00","","","","3","","99"
"2023077066","99","99","UNK","","UNK","PA","99999","BIG BROTHER LITTLE BROTHER ENT","9999999999","011000","","","","","","","","","","","","","","00","","","","1","","99"
"2023098989","99","7","100 S BROAD ST","","PHILADELPHIA","PA","19110","SANITATION","0000000000","060000","","","","","","","","","","","","","","00","","","","1","","05"
"2023109399","99","99","1520 BLAINE ST","","GARY","IN","46406","DM EXPRESS INC","0000000000","","","","","","N","","","","","","","","","00","","","","2","02443340","08"
"2024001045","05","3","119 PENNINGTON FLR2","","NEWARK","NJ","07105","ONEWAY TRUCKING LLC","8622305504","080000","","","","","N","","","","","","","01","","00","","","","1","02573951","08"
"2023029856","02","8","1234 MARKET ST","","PA","PA","19107","SOUTHEASTERN PENNSYLVANIA TRANSP","2155808100","","","","","","N","","","","","","","","","00","","","","3","00010206","13"
"2023040111","06","3","458 LAFAYATTE ST","","PASSAIC","NJ","07055-2832","MCKINLYLOGISTICS","2017572926","080000","","","","","N","","","","","","","02","","00","","","","1","03104891","08"
"2023040614","03","99","4220 E BRISTOL RD","","TREVOSE","PA","19053","SYSTEMFREIGHT INC","2674358129","080000","","","","","N","","","","","","","99","","00","","","","2","03571907","08"
"2023049194","99","1","UNK","","UNK","PA","99999","FOLCFORT FIRE CO","9999999999","","","","","","","","","","","","","","","00","","","","3","","99"
"2023055060","05","98","5601 BELLEVILLE","","CANTON","MI","48188","A D TRANSPORT EXPRESS INC","7343977100","","","","","","N","","","","","","","","","00","","","","3","00296052","08"
"2023071979","05","1","104 WOODLAWN RANCH ROAD","","GEORGIA","LA","70363","SAIA MOTOR FREIGHT LINE","2678441233","080000","","","","","N","","","","","","","02","","00","","","","2","00029124","09"
"2023099600","99","99","UNK","","UNK","ZZ","99999","UNK","9999999999","","","","","","","","","","","","","","","00","","","","1","","99"
"2023107465","99","8","1234 MARKET ST","","PHILA","PA","19107","SEPTA","9999999999","","","","","","N","","","","","","","","","00","","","","2","","13"
"2024003878","99","99","UNK","","UNK","PA","99999","JL CRUZ TRANSPORTATION LLC","9999999999","014000","","","","","","","","","","","","","","00","","","","1","","99"
"2023003931","02","1","209 BRIARWOOD","","DOYLESTOWN","PA","18901","CUNDARI TRUCKING","2152456262","030000","","","","","N","","","","","","","","","00","","","","1","00327574","09"
"2023011080","02","8","231 MALTA STREET","","BROOKLYN","NY","11207-1120","MAT BUS CO","2153830470","012300","","","","","N","","","","","","","","","00","","","","1","02643668","12"
"2023033201","99","8","1234 MARKET ST","","PHILA","PA","19107","SEPTA","9999999999","","","","","","N","","","","","","","","","00","","","","1","","13"
"2023034141","99","8","1234 MARKET ST","","PHILA","PA","19107","SEPTA","9999999999","","","","","","N","","","","","","","","","00","","","","1","","13"
"2023042070","05","4","4194 PT PLEASANT PK","","DANBORO","PA","18916","RICHARD W SMITH INC","2152605213","080000","","","","","N","","","","","","","01","","00","","","","2","00267078","08"
"2023071842","02","1","982 N DELAWARE AVE","","PHILADELPHIA","PA","19123","GLENN MEATS COMPANY","2156273903","017000","","","","","N","","","","","","","99","","00","","","","1","00297242","99"
"2023112055","02","7","100 S BROAD ST 3RD FL","","PHILADELPHIA","PA","19110","CITY OF PHILADELPHIA","2156861776","037000","","","","","N","","","","","","","","","00","","","","1","","03"
"2024005417","99","8","1234 MARKET ST","","PHILA","PA","19107","SEPTA","9999999999","","","","","","N","","","","","","","","","00","","","","2","","13"
"2023005979","99","8","1234 MARKET ST","","PHILA","PA","19107","SEPTA","9999999999","","","","","","N","","","","","","","","","00","","","","2","","13"
"2023041799","03","3","7135 CENTENNIAL PL.","","NASHVILLE","TN","37209","WESTERN EXPRESS","6158468171","080000","","","","","N","","","","","","","99","","00","","","","1","00511412","08"
"2023090311","99","99","UNK","","PHILA","PA","99999","NORTONS TOW SQUAD INC","9999999999","","","","","","","","","","","","","","","00","","","","2","","99"
"2023093571","99","99","UNK","","PHILA","PA","99999","PHILADELPHIA PARKING AUTHORITY","9999999999","019500","","","","","N","","","","","","","","","00","","","","1","","99"
"2023098638","99","99","UNK","","UNK","ZZ","99999","UNK","9999999999","025500","","","","","","","","","","","","","","00","","","","2","","99"
"2023100339","02","8","3000 W SCHOOL HOUSE LANE","","PHILADELPAHIA","PA","19144","WILLIAM PENN CHARTER SCHOOL","2158443460","014500","","","","","N","","","","","","","","","00","","","","1","","12"
"2023014059","99","99","UNK","","UNK","PA","99999","UNK","9999999999","015000","","","","","","","","","","","","","","00","","","","2","","99"
"2023014059","99","1","UNK","","UNK","AZ","99999","UHAUL","9999999999","","","","","","","","","","","","","","","00","","","","3","","99"
"2023015960","99","1","UNK","","ATLANTA","GA","99999","UPS","9999999999","026000","","","","","N","","","","","","","","","00","","","","1","","99"
"2023041640","04","7","3033 S 63RD ST","","PHILADELPHIA","PA","19112","CITY OF PHILADELPHIA-STREETS DEP","2156854290","060000","","","","","N","","","","","","","","","00","","","","2","","04"
"2023075718","99","8","1234 MARKET ST","","PHILA","PA","19107","SEPTA","9999999999","","","","","","","","","","","","","","","00","","","","2","","13"
"2023085153","02","8","ONE PENN PLAZA EAST","","NEWARK","NJ","07105","NEW JERSEY TRANSIT","8569683911","050000","","","","","N","","","","","","","","","00","","","","1","00074293","13"
"2023095717","","8","157 E WALNUT LN","","PHILADELPHIA","PA","19144","STAND UP GUYS SERVICES LLC","2678177043","","","","","","N","","","","","","","99","","00","","","","1","03740644","15"
"2023097414","02","1","255 RT 1&9 S","","JERSEY CITY","NJ","07306","IMPERIAL BAG & PAPER CO LLC","2014377440","033000","","","","","N","","","","","","","","","00","","","","1","00013811","09"
"2023049012","99","8","1234 MARKET ST","","PHILA","PA","19107","SEPTA","9999999999","","","","","","N","","","","","","","","","00","","","","1","","13"
"2023067080","05","1","PO BOX 792","","SWEDESBORO","NJ","08085","ROCKSTEADY TRANSPORT LLC","8565370925","080000","","","","","N","","","","","","","","","00","","","","1","01882987","08"
"2023070302","99","99","UNK","","PHILA","PA","99999","PHILADELPHIA PARKING AUTHORITY","9999999999","016500","","","","","N","","","","","","","","","00","","","","1","","99"
"2023071867","03","4","2826 FINLEY AVE","","BENSALEM","PA","19020","BRN CONSTRUCTION","2672857152","080000","","","","","N","","","","","","","01","","00","","","","2","02401080","04"
"2023101783","02","7","100 S BROAD ST","","PHILADELPHIA","PA","19110","CITY OF PHILADELPHIA","2156861776","026000","","","","","N","","","","","","","","","00","","","","1","","99"
"2023057703","99","1","55 GLENLAKE PKWY","","ATLANTA","GA","30328","UPS","2159372575","033001","","","","","N","","","","","","","","","00","","","","1","00021800","05"
"2023086978","99","8","UNK","","UNK","MD","99999","ATLANTIC COAST CHARTERS INC","9999999999","","","","","","N","","","","","","","","","00","","","","1","","14"
"2023092853","04","4","75 POWERLINE RD","","BOYERTOWN","PA","19512","SORBELLI TRANSPORT SERVICES LLC","2159893734","073280","","","","","N","","","","","","","","","00","","","","1","01958824","04"
"2023116793","05","3","808 N 161ST EAST AVE","","TULSA","OK","74116","MELTON TRUCK LINES INC","9182348000","080000","","","","","N","","","","","","","","","00","","","","1","00034666","08"
"2023005552","03","1","643 MANLEY STREET","","WEST BRIDGE","MA","02379","M AND M TRANSPORTATION","0000000000","080000","","","","","N","","","","","","","","","00","","","","1","00342630","08"
"2023016092","99","8","1234 MARKET ST","","PHILA","PA","19107","SEPTA","9999999999","","","","","","N","","","","","","","","","00","","","","1","","13"
"2023016913","02","1","7333 MILNOR ST","","PHILADELPHIA","PA","19136","REVOLUTION RECOVERY LLC","2153336505","025950","","","","","N","","","","","","","","","00","","","","1","01767816","03"
"2023041641","02","8","440 N BROAD STREET","","PHILADELPHIA","PA","19130","SCHOOL DISTRICT OF PHILADELPHIA","2154009830","030280","","","","","N","","","","","","","","","00","","","","1","02057314","12"
"2023051705","03","7","100 S BROAD ST 3RD FL","","PHILADELPHIA","PA","19110","CITY OF PHILADELPHIA","2156861776","033000","","","","","N","","","","","","","","","00","","","","1","","09"
"2023077938","99","3","70 EAST SUNRISE HIGHWAY SUIT50","","VALLEY STREAM","NY","11581","BOOMING FREIGHT TRANSPORT","7032804001","080000","","","","","N","","","","","","","","","00","","","","2","02566836","08"
"2023090696","99","8","14002 E 21ST","","TULSA","OK","74134","EAN HOLDINGS / NATIONAL RENTAL","2674375778","","","","","","N","","","","","","","","","00","","","","1","","13"
"2023116857","99","99","UNK","","READING","PA","99999","PENSKE","9999999999","","","","","","","","","","","","","","","00","","","","2","","99"
"2023016802","02","8","440 N. BROAD ST","","PHILADELPHIA","PA","19130","SCHOOL DISTRICT OF PHILADELPHIA","2154004000","033000","","","","","N","","","","","","","","","00","","","","1","02057414","12"
"2023030727","02","1","1050 SWEDESFORD RD","","BERWYN","PA","19312","PECO ENERGY COMPANY","6106487760","025500","","","","","N","","","","","","","","","00","","","","1","00006610","09"
"2023035631","99","99","UNK","","UNK","PA","99999","THE CAR DOC 1 INC","9999999999","011500","","","","","","","","","","","","","","00","","","","1","","99"
"2023038695","99","1","UNK","","PHILA","PA","99999","CITY OF PHILA","9999999999","","","","","","N","","","","","","","","","00","","","","2","","99"
"2023046916","03","7","100 S BROAD ST","","PHILADELPHIA","PA","19110","CITY OF PHILADLEPHIA","2156851776","060000","","","","","N","","","","","","","","","00","","","","2","","04"
"2023058422","04","2","6 ELLA CIR","","HUNTINGTON VALLEY","PA","19006","PHILAMED CAREER CENTER INC","8566610600","080000","3","","","","Y","2","","","","","","02","","00","","","","2","00264473","08"
"2023060376","02","0","8685 WASHINGTON BLVD","","JESSUP","MD","20794","PENSKE LEASING AND RENTAL CORP","3014983000","080000","","","","","N","","","","","","","02","","00","","","","2","00961170","09"
"2023065896","05","3","3850 LOGMILL RD","","GAINESVILLE","VA","20155-1017","ADVANCED TRUCKING LLC","5713372942","033001","","","","","N","","","","","","","99","","00","","","","4","03051572","08"
"2023007419","99","99","1050 SWEDESFORD RD","","BERWYN","PA","19312","PECO ENERGY CO","9999999999","019500","","","","","","","","","","","","","","00","","","","2","","99"
"2023023503","99","1","UNK","","PHILA","PA","99999","CITY OF PHILA","9999999999","","","","","","N","","","","","","","","","00","","","","2","","99"
"2023086739","05","1","195 BRITISH WOODS DR","","NASHVILLE","TN","37217","SIGAD TRANSPORT LLC","6156632979","","","","","","N","","","","","","","01","","00","","","","1","03241442","08"
"2023110303","99","99","UNK","","BOYERTOWN","PA","99999","WJ MENKINS HAULING INC","9999999999","073280","","","","","","","","","","","","","","00","","","","3","","99"
"2023039620","02","8","4201 TACONY ST","","PHILAELPHIA","PA","19124","TOTAL TRANSIT CORP","2672571408","","","","","","N","","","","","","","","","00","","","","2","","10"
"2023048843","99","99","UNK","","UNK","PA","99999","GIORDANO GARDEN GROCERIES","9999999999","014500","","","","","N","","","","","","","","","00","","","","1","","99"
"2023086124","99","0","3025 CASTOR AVE","","PHILADELPHIA","PA","19134","CASTOR MATERIALS","6093643815","013200","","","","","N","","","","","","","99","","00","","","","1","01379996","09"
"2023086124","99","0","903 WOODLAWN AVE","","NATIONAL PARK","NJ","08063","ROBERT  G  DENNY JR","6093643815","080000","","","","","N","","","","","","","99","","00","","","","2","00595064","08"
"2024000141","99","99","UNK","","UNK","PA","99999","UNK","9999999999","014000","","","","","","","","","","","","","","00","","","","5","","99"
"2023012904","05","1","314 W DARLINGTON ST","","FLORENCE","SC","29501","LEGGETT TRUCKING LLC","9734182150","080000","","","","","N","","","","","","","02","","00","","","","1","03775638","09"
"2023039804","99","99","UNK","","UNK","PA","99999","AUTO BASE INC","9999999999","019500","","","","","","","","","","","","","","00","","","","1","","99"
"2023046786","99","1","UNK","","UNK","ZZ","99999","UNK","9999999999","","","","","","","","","","","","","","","00","","","","2","","99"
"2023050074","99","8","1234 MARKET ST","","PHILA","PA","19107","SEPTS","9999999999","","","","","","N","","","","","","","","","00","","","","1","","13"
"2023056694","99","8","1234 MARKET ST","","PHILA","PA","19107","SEPTA","9999999999","","","","","","N","","","","","","","","","00","","","","2","","13"
"2023067516","99","0","3146 PECAN LAKE DR APT 308","","MEMPHIS","TN","38115","ARHS LOGISTICS, LLC","6093383064","080000","","","","","N","","","","","","","99","","00","","","","2","00232734","08"
"2023071892","02","7","100 S. BROAD STREET","","PHILADELPHIA","PA","19110","CITY OF PHILADELPHIA STREETS DEP","2156841364","024200","","","","","N","","","","","","","","","00","","","","1","","03"
"2023072220","02","1","1093 BUCKINGHAM DR","","WEST DEPTFORD","NJ","08086","MFM ENTERPRISES LLC","2157490707","026000","","","","","N","","","","","","","","","00","","","","2","02005115","09"
"2023080502","04","99","3245 S. 74TH STREET","","PHILADELPHIA","PA","19153","CARUSONE CONSTRUCTION INC","2154928070","022000","","","","","N","","","","","","","","","00","","","","3","01226742","04"
"2023104963","99","99","UNK","","PHILA","PA","99999","CITY OF PHILA","9999999999","043450","","","","","","","","","","","","","","00","","","","2","","99"
"2023034959","05","1","313 IRON HORSE WAY","","PROVIDENCE","RI","02908","UNFI TRANSPORT LLC","8042218202","080000","","","","","N","","","","","","","","","00","","","","1","00179097","08"
