"CRN","MC_BAG_IND","MC_DVR_BOOTS_IND","MC_DVR_EDC_IND","MC_DVR_EYEPRT_IND","MC_DVR_HLMT_TYPE","MC_DVR_HLMTDOT_IND","MC_DVR_HLMTON_IND","MC_DVR_LNGPNTS_IND","MC_DVR_LNGSLV_IND","MC_ENGINE_SIZE","MC_PASSNGR_IND","MC_PAS_BOOTS_IND","MC_PAS_EYEPRT_IND","MC_PAS_HLMTDOT_IND","MC_PAS_HLMTON_IND","MC_PAS_HLMT_TYPE","MC_PAS_LNGPNTS_IND","MC_PAS_LNGSLV_IND","MC_TRAIL_IND","UNIT_NUM"
2019029423,"N","U","N","N","0","N","N","U","U","99999","N"," "," "," "," "," "," "," ","N",1
2019030140,"N","Y","N","Y","1","Y","N","Y","Y","00250","N"," "," "," "," "," "," "," ","N",2
2019045948,"Y","N","N","N","0","N","N","N","N","00600","N"," "," "," "," "," "," "," ","N",1
2019050283,"Y","Y","Y","Y","1","Y","Y","Y","Y","00600","N"," "," "," "," "," "," "," ","N",2
2019050997,"Y","N","Y","Y","9","U","U","Y","Y","01340","N"," "," "," "," "," "," "," ","N",2
2019109996," "," "," "," "," "," "," "," "," ","     "," "," "," "," "," "," "," "," "," ",2
2019121475,"N","Y","N","Y","0","N","N","Y","Y","02384","N"," "," "," "," "," "," "," ","N",1
2019121590," "," "," "," "," "," "," "," "," ","     "," "," "," "," "," "," "," "," "," ",2
2019064575,"N","N","N","N","0","N","N","Y","N","00125","N"," "," "," "," "," "," "," ","N",2
2019074425,"Y","Y","Y","Y","0","N","N","Y","N","01500","N"," "," "," "," "," "," "," ","N",1
2019086261," "," "," "," "," "," "," "," "," ","     "," "," "," "," "," "," "," "," "," ",1
2019087914,"N","N","U","U","0","N","N","Y","N","00998","N"," "," "," "," "," "," "," ","N",1
2019105927," "," "," "," "," "," "," "," "," ","     "," "," "," "," "," "," "," "," "," ",1
2019107310," "," "," "," "," "," "," "," "," ","     "," "," "," "," "," "," "," "," "," ",2
2019121466," "," "," "," "," "," "," "," "," ","     "," "," "," "," "," "," "," "," "," ",2
2019058186," "," "," "," "," "," "," "," "," ","     "," "," "," "," "," "," "," "," "," ",2
2019065263," "," "," "," "," "," "," "," "," ","     "," "," "," "," "," "," "," "," "," ",2
2019065873,"N","U","U","U","9","U","U","U","U","00750","N"," "," "," "," "," "," "," ","N",1
2019072982,"N","U","U","U","1","Y","U","Y","U","01130","N"," "," "," "," "," "," "," ","N",2
2019083202," "," "," "," "," "," "," "," "," ","     "," "," "," "," "," "," "," "," "," ",2
2019086192," "," "," "," "," "," "," "," "," ","     "," "," "," "," "," "," "," "," "," ",2
2019088550," "," "," "," "," "," "," "," "," ","     "," "," "," "," "," "," "," "," "," ",2
2019110901," "," "," "," "," "," "," "," "," ","     "," "," "," "," "," "," "," "," "," ",1
2019115381," "," "," "," "," "," "," "," "," ","     "," "," "," "," "," "," "," "," "," ",2
2019121476,"N","N","U","N","0","N","N","Y","Y","00400","N"," "," "," "," "," "," "," ","N",1
2019028711,"N","U","N","U","3","U","Y","Y","Y","00250","N"," "," "," "," "," "," "," ","N",1
2019078885," "," "," "," "," "," "," "," "," ","     "," "," "," "," "," "," "," "," "," ",2
2019094875,"Y","N","U","Y","1","U","Y","Y","Y","00500","N"," "," "," "," "," "," "," ","N",2
2019121425," "," "," "," "," "," "," "," "," ","     "," "," "," "," "," "," "," "," "," ",2
2019131556,"U","U","Y","Y","9","U","U","U","U","99999","N"," "," "," "," "," "," "," ","N",1
2019035535,"Y","Y","U","Y","1","Y","Y","Y","Y","01000","N"," "," "," "," "," "," "," ","N",1
2019038095,"N","Y","Y","Y","1","Y","Y","Y","Y","00600","Y","Y","Y","Y","Y","1","Y","Y","N",1
2019051604," "," "," "," "," "," "," "," "," ","     "," "," "," "," "," "," "," "," "," ",1
2019063472," "," "," "," "," "," "," "," "," ","     "," "," "," "," "," "," "," "," "," ",2
2019087941," "," "," "," "," "," "," "," "," ","     "," "," "," "," "," "," "," "," "," ",2
2019094439," "," "," "," "," "," "," "," "," ","     "," "," "," "," "," "," "," "," "," ",2
2019132909,"U","U","U","U","9","U","U","U","U","99999","U"," "," "," "," "," "," "," ","U",2
2019035585,"N","N","U","Y","1","U","N","Y","Y","00782","N"," "," "," "," "," "," "," ","N",1
2019053516,"N","U","N","N","9","U","N","Y","Y","00599","N"," "," "," "," "," "," "," ","N",2
2019057972," "," "," "," "," "," "," "," "," ","     "," "," "," "," "," "," "," "," "," ",1
2019068009,"N","U","U","U","0","N","N","Y","N","01200","N"," "," "," "," "," "," "," ","N",1
2019085227," "," "," "," "," "," "," "," "," ","     "," "," "," "," "," "," "," "," "," ",2
2019093970,"N","N","N","N","3","N","N","Y","N","00200","N"," "," "," "," "," "," "," ","N",1
2019107573," "," "," "," "," "," "," "," "," ","     "," "," "," "," "," "," "," "," "," ",2
2019121609,"U","Y","U","Y","1","U","U","Y","Y","00005","Y","Y","Y","U","U","1","Y","Y","N",1
