"CRN","AXLE_CNT","CARGO_BD_TYPE","CARRIER_ADDR_1","CARRIER_ADDR_2","CARRIER_ADDR_CITY","CARRIER_ADDR_STATE","CARRIER_ADDR_ZIP","CARRIER_NM","CARRIER_TEL","GVWR","HAZMAT_CD1","HAZMAT_CD2","HAZMAT_CD3","HAZMAT_CD4","HAZMAT_IND","HAZMAT_REL_IND1","HAZMAT_REL_IND2","HAZMAT_REL_IND3","HAZMAT_REL_IND4","ICC_NUM","OSIZE_LOAD_IND","PERMITTED","PUC_NUM","SPECIAL_SIZING1","SPECIAL_SIZING2","SPECIAL_SIZING3","SPECIAL_SIZING4","UNIT_NUM","USDOT_NUM","VEH_CONFIG_CD"
"2019018511","99","8","99","","PHILA","PA","99999","76 CARRIAGE CO INC DBA PHILADE","9999999999","999999","","","","","N","","","","","","N","","","","","","","1","","11"
"2019037174","99","8","10 WENDELL AVE EXTENSIO","","PITTSFIELD","MA","01201","EXPRESS BUS INC","9999999999","040900","","","","","N","","","","","","N","","","","","","","2","02981989","11"
"2019060674","05","1","960 SIVERT DR SUITE A","","WOOD DALE","IL","60191","BUTACIS TRUCKING INC","3122031601","041000","","","","","N","","","","","","N","","","","","","","1","02315547","08"
"2019068809","99","99","216 FORREST AVE","","NARBETH","PA","19072","CHARLES FREIL INC","6106640611","025500","","","","","N","","","","","","N","","","","","","","2","02289129","99"
"2019081799","99","8","1234 MARKET ST","","PHILA","PA","19107","SEPTA","9999999999","999999","","","","","N","","","","","","N","","","","","","","3","","13"
"2019110077","99","1","2740 N MAYFAIR AVE","","SPRINGFIELD","MO","65803","NEW PRIME INC","8003214552","","","","","","N","","","","","","N","","","","","","","4","00003706","09"
"2019123117","99","4","2304 10 ADAMS AVE","","PHILADELPHIA","PA","19124","P SANTOS CO INC","2155334719","999999","","","","","N","","","","","","U","","","","","","","2","00889384","05"
"2019123117","99","6","12341 E NINE MILE ROAD","","WARREN","MI","48089","MASON DIXON INTERMODAL INC","5869200100","999999","","","","","N","","","","","","U","","","","","","","3","01162977","08"
"2019130506","02","8","1234 MARKET ST","","PHILADELPHIA","PA","19107","SEPTA","2155808100","040276","","","","","N","","","","","","N","","","","","","","2","00010206","11"
"2019029544","03","4","9119 FRANKFORD AVE","","PHILADELPHIA","PA","19114","JAMES D MORRISSEY INC","2153338000","080000","","","","","N","","","","","","N","","","","","","","2","00010072","04"
"2019032403","99","8","99","","ERIE","PA","99999","FIRST STUDENT INC","9999999999","999999","","","","","N","","","","","","N","","","","","","","2","","11"
"2019052727","99","8","1234 MAIN STREET","","PHILA","PA","19107","SEPTA","9999999999","999999","","","","","N","","","","","","N","","","","","","","2","","13"
"2019118350","99","99","15 OREGON AVE","","PHILA","PA","19146","UPS INC","9999999999","017000","","","","","N","","","","","","N","","","","","","","5","","99"
"2019119652","99","99","99","","BRODHEADSVILLE","PA","18322","FRANTZ LANDSCAPING PRODUCTS IN","9999999999","012000","","","","","N","","","","","","N","","","","","","","1","","99"
"2019129883","03","1","1288 COW HORN RD","","SE DARIEN","GA","31305-5509","GEE MAN TRUCKING INC","2489101849","080000","","","","","N","","","","","","N","","","","","","","1","00318861","08"
"2019038648","99","99","85 CORPORATE WOODS DRIV","","BRIDGETON","MO","63044","HOGAN","8664646426","999999","","","","","N","","","","","","N","","","","","","","3","00226618","08"
"2019045382","05","1","519 KAISER DR","","FOLCORT","PA","19032","PHILADELPHIA TRUCK LINE INC","6105221184","080000","","","","","N","","","","","","N","","","","","","","2","00827378","08"
"2019047046","02","3","PO BOX 200","","WAYNE","NJ","07474","BONLAND INDUSTRIES INC","9736943211","012000","","","","","N","","","","","","N","","","","","","","1","00437219","09"
"2019047046","05","6","PO BOX 160","","WIND GAP","PA","18091","BROTHERS AUTO TRANSPORT LLC","6108630200","080000","","","","","N","","","","","","N","","","","","","","3","00621208","08"
"2019074901","99","99","3030 EUCLID AVE","","PHILADELPHIA","PA","19121","BARKLEYS BBQ","2674446941","010001","","","","","N","","","","","","N","","","","","","","2","","99"
"2019106959","05","1","2001 ELDEN ST","","SOUTH ABINGTON TOWNS","PA","18411-9474","ROAD SCHOLAR TRANSPORT INC","5703481155","080000","","","","","N","","","","","","N","","","","","","","1","01338719","08"
"2019117047","99","99","2675 MORGANTOWN RD","","READING","PA","19607","PENSKE TRUCK LEASING","9999999999","999999","","","","","N","","","","","","N","","","","","","","1","","99"
"2019120533","99","99","7333 MILNOR ST","","PHILADELPHIA","PA","19136","REVOLUTIONARY RECOVERY LLC","0000000000","073280","","","","","N","","","","","","N","","","","","","","2","01767816","99"
"2019120865","02","8","1234 MARKET ST","","PHILADELPHIA","PA","19107","SOUTHEASTERN PA TRANS AUTHORITY","2155807238","040276","","","","","N","","","","","","N","","","","","","","2","00010206","13"
"2019120865","02","8","1234 MARKET ST","","PHILADELPHIA","PA","19107","SOUTHEASTERN PA TRANS AUTHORITY","2155807238","040130","","","","","N","","","","","","N","","","","","","","3","00010206","13"
"2019121373","02","0","4920 ENTERPRISE PARKWAY","","SEVILLE","OH","44273","V3 TRANSPORTATION","8882555955","080000","","","","","N","","","","","","N","","","","","","","1","02357928","08"
"2019121506","99","8","3101 ORTHODOX ST","","PHILADELPHIA","PA","19137","TOTAL TRANSPORTATION COMPANY","3029328902","010000","","","","","N","","","","","","N","","","","","","","1","02643668","10"
"2020007575","03","2","713 N MAIN RD","","VINELAND","NJ","08360","PENCO LEASING LLC","8566911142","080000","3","","","","Y","1","","","","","N","","","","","","","1","00156123","08"
